mountain,base_depth,region,new_snow,day,year_total
Mt. Hood Meadows,150 in.,Mt. Hood,7 in.,"Mar 16, 2012",325 in.
Mt. Hood Meadows,117 in.,Mt. Hood,1 in.,"May 11, 2010",189 in.
Timberline Lodge,85 in.,Oregon,6 in.,"May  5, 2014",350 in.
Timberline Lodge,186 in.,Oregon,2 in.,"Jun  3, 2011",347 in.
Timberline Lodge,44 in.,Oregon,7 in.,"Dec  7, 2012",410 in.
Timberline Lodge,28 in.,Oregon,16 in.,"Nov 22, 2009",408 in.
Timberline Lodge,107 in.,Oregon,1 in.,"May 29, 2013",286 in.
Timberline Lodge,84 in.,Oregon,11 in.,"Dec 15, 2010",300 in.
Mt. Bachelor,100 in.,Oregon,2 in.,"Apr  3, 2013",301 in.
Mt. Bachelor,112 in.,Oregon,1 in.,"Mar 18, 2014",509 in.
Mt. Bachelor,119 in.,Oregon,1 in.,"Apr  9, 2010",188 in.
Mt. Bachelor,101 in.,Oregon,2 in.,"Dec 25, 2015",241 in.
Mt. Bachelor,95 in.,Oregon,2 in.,"Dec 27, 2015",243 in.
Mt. Hood Meadows,23 in.,Mt. Hood,2 in.,"Dec 21, 2013",246 in.
Mt. Bachelor,167 in.,Oregon,6 in.,"Mar 30, 2011",253 in.
Mt. Bachelor,159 in.,Oregon,9 in.,"Mar 22, 2012",338 in.
Mt. Hood Meadows,129 in.,Mt. Hood,4 in.,"Apr  4, 2014",295 in.
Mt. Hood Meadows,153 in.,Mt. Hood,3 in.,"Apr 26, 2011",263 in.
Mt. Hood Meadows,31 in.,Mt. Hood,4 in.,"Nov 11, 2009",347 in.
Mt. Hood Meadows,148 in.,Mt. Hood,6 in.,"Mar 17, 2012",331 in.
Mt. Hood Meadows,14 in.,Mt. Hood,3 in.,"Nov  8, 2010",192 in.
Timberline Lodge,85 in.,Oregon,5 in.,"May  6, 2014",355 in.
Timberline Lodge,2 in.,Oregon,2 in.,"Nov  1, 2011",349 in.
Timberline Lodge,55 in.,Oregon,6 in.,"Dec  8, 2012",416 in.
Timberline Lodge,28 in.,Oregon,10 in.,"Nov 23, 2009",418 in.
Timberline Lodge,12 in.,Oregon,3 in.,"Nov 15, 2013",289 in.
Timberline Lodge,78 in.,Oregon,2 in.,"Dec 18, 2010",302 in.
Mt. Bachelor,98 in.,Oregon,5 in.,"Apr  4, 2013",306 in.
Mt. Bachelor,108 in.,Oregon,1 in.,"Mar 20, 2014",510 in.
Mt. Bachelor,120 in.,Oregon,3 in.,"Apr 12, 2010",191 in.
Mt. Bachelor,95 in.,Oregon,1 in.,"Dec 28, 2015",244 in.
Mt. Bachelor,148 in.,Oregon,1 in.,"Apr  2, 2011",254 in.
Mt. Bachelor,156 in.,Oregon,1 in.,"Mar 23, 2012",339 in.
Mt. Hood Meadows,129 in.,Mt. Hood,1 in.,"Apr  5, 2014",296 in.
Mt. Hood Meadows,158 in.,Mt. Hood,13 in.,"Apr 27, 2011",276 in.
Mt. Hood Meadows,32 in.,Mt. Hood,1 in.,"Nov 12, 2009",348 in.
Mt. Hood Meadows,149 in.,Mt. Hood,3 in.,"Mar 18, 2012",334 in.
Mt. Hood Meadows,0 in.,Mt. Hood,2 in.,"Nov 12, 2010",194 in.
Timberline Lodge,85 in.,Oregon,1 in.,"May  7, 2014",356 in.
Timberline Lodge,0 in.,Oregon,5 in.,"Nov  5, 2011",354 in.
Timberline Lodge,54 in.,Oregon,1 in.,"Dec 10, 2012",417 in.
Timberline Lodge,28 in.,Oregon,10 in.,"Nov 25, 2009",428 in.
Timberline Lodge,26 in.,Oregon,1 in.,"Dec 10, 2013",290 in.
Timberline Lodge,78 in.,Oregon,4 in.,"Dec 19, 2010",306 in.
Mt. Bachelor,99 in.,Oregon,10 in.,"Apr  5, 2013",316 in.
Mt. Bachelor,104 in.,Oregon,7 in.,"Mar 24, 2014",517 in.
Mt. Bachelor,120 in.,Oregon,6 in.,"Apr 15, 2010",197 in.
Mt. Bachelor,90 in.,Oregon,2 in.,"Dec 29, 2015",246 in.
Mt. Bachelor,151 in.,Oregon,5 in.,"Apr  3, 2011",259 in.
Mt. Bachelor,151 in.,Oregon,2 in.,"Mar 26, 2012",341 in.
Mt. Hood Meadows,131 in.,Mt. Hood,2 in.,"Apr  6, 2014",298 in.
Mt. Hood Meadows,155 in.,Mt. Hood,3 in.,"Apr 28, 2011",279 in.
Mt. Hood Meadows,44 in.,Mt. Hood,15 in.,"Nov 14, 2009",363 in.
Mt. Hood Meadows,149 in.,Mt. Hood,2 in.,"Mar 19, 2012",336 in.
Mt. Hood Meadows,0 in.,Mt. Hood,22 in.,"Nov 18, 2010",216 in.
Timberline Lodge,85 in.,Oregon,7 in.,"May  9, 2014",363 in.
Timberline Lodge,0 in.,Oregon,5 in.,"Nov  6, 2011",359 in.
Timberline Lodge,53 in.,Oregon,1 in.,"Dec 11, 2012",418 in.
Timberline Lodge,28 in.,Oregon,4 in.,"Nov 28, 2009",432 in.
Timberline Lodge,28 in.,Oregon,3 in.,"Dec 13, 2013",293 in.
Timberline Lodge,79 in.,Oregon,3 in.,"Dec 21, 2010",309 in.
Mt. Bachelor,101 in.,Oregon,14 in.,"Apr  6, 2013",330 in.
Mt. Bachelor,103 in.,Oregon,5 in.,"Mar 25, 2014",522 in.
Mt. Bachelor,111 in.,Oregon,6 in.,"Apr 21, 2010",203 in.
Mt. Bachelor,153 in.,Oregon,5 in.,"Apr  5, 2011",264 in.
Mt. Bachelor,151 in.,Oregon,3 in.,"Mar 27, 2012",344 in.
Mt. Hood Meadows,110 in.,Mt. Hood,2 in.,"Apr 18, 2014",300 in.
